"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @nosoyelpunta: Os prometo que para defender el comunismo acabo de leer que en esos países ""son más felices con menos cosas"". Escrito des…",FALSE,0,NA,2019-11-14 21:32:58,FALSE,NA,"1195092281700888577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GuillermRodrigu",989,TRUE,FALSE,NA,NA
"2","Ya mi Sugar Mommy me dijo que me iba a comprar un iPhone nuevo porque el mío ya estaba feo jaja<U+0001F970>",FALSE,0,NA,2019-11-14 21:32:57,FALSE,NA,"1195092279964422146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Markoky11",0,FALSE,FALSE,NA,NA
"3","@SrtaAlienade @wallstwolverine Xiaomi mejor que iPhone",FALSE,0,"SrtaAlienade",2019-11-14 21:32:49,FALSE,"1195091301219422208","1195092242630926336","1068122738353676288","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","javiqprg222",0,FALSE,FALSE,NA,NA
"4","RT @MiltonFriedom: En Cuba ganan 5 dolares al mes, hacen 8 horas de cola para un kilo de arroz y nadie protesta. Pero el sistema donde la g…",FALSE,0,NA,2019-11-14 21:32:48,FALSE,NA,"1195092241607536641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wilsonsandoya",2457,TRUE,FALSE,NA,NA
"5","@JavierZurita De repente ya no quiero mi iPhone Jajja",FALSE,0,"JavierZurita",2019-11-14 21:32:44,FALSE,"1195079293354860544","1195092224071151628","75644841","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Freddy_LA",0,FALSE,FALSE,NA,NA
"6","RT @pablocarrozza: Los traperos se llenan la boca con la inclusión social y la escuela de la calle, y después los vemos tirando dólares des…",FALSE,0,NA,2019-11-14 21:32:42,FALSE,NA,"1195092216617873410",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErikaBundy",57,TRUE,FALSE,NA,NA
"7","RT @jeff_umanzor: <U+2705>Interfaz del iPhone 11 Pro en iPhone X y anteriores<U+0001F633>

<U+2705> Interfaz de cámara de iPhone 11 en modelos anteriores<U+0001F525>

<U+2705> Gratis…",FALSE,0,NA,2019-11-14 21:32:39,FALSE,NA,"1195092203447685120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Apple4Barres",9,TRUE,FALSE,NA,NA
"8","¡Versión PRO en oferta!
Apple iPhone 11 Pro de 64 Gb por 1089 € (-70 €)
https://t.co/aPyak3c5xM
el de 256 Gb en col… https://t.co/SFUihTZKdQ",FALSE,0,NA,2019-11-14 21:32:38,TRUE,NA,"1195092198217461771",NA,"<a href=""https://kuku.io"" rel=""nofollow"">Link account with KUKU.io</a>","Chollomaton",0,FALSE,FALSE,NA,NA
"9","Soy el único que cuando el IPhone se le está agotando la batería empieza a ir lento?",FALSE,0,NA,2019-11-14 21:32:37,FALSE,NA,"1195092196132892676",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dorante10",0,FALSE,FALSE,NA,NA
"10","@Hugo_Gutierrez_ Puta que buena idea Huguito (o al que te maneja Twitter), creo que debemos implantar el sistema qu… https://t.co/YKJVRunI7k",FALSE,0,"Hugo_Gutierrez_",2019-11-14 21:32:36,TRUE,"1195085270951088128","1195092192064417805","169979854","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PECC1980",0,FALSE,FALSE,NA,NA
"11","¡Versión PRO en oferta!
Apple iPhone 11 Pro de 64 Gb por 1089 € (-70 €)
https://t.co/TLt6HtgPih
el de 256 Gb en col… https://t.co/N8NjrOzusf",FALSE,0,NA,2019-11-14 21:32:36,TRUE,NA,"1195092190185369609",NA,"<a href=""https://kuku.io"" rel=""nofollow"">Link account with KUKU.io</a>","chollofilos",0,FALSE,FALSE,NA,NA
"12","RT @sadchelet: -30 años.
-Vive con sus padres.
-Lleva 11 años en la ""U"".
-No trabaja.
-Tuitea desde su Iphone X max.
-Sale todos los días a…",FALSE,0,NA,2019-11-14 21:32:34,FALSE,NA,"1195092180437807116",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseALlabres",11,TRUE,FALSE,NA,NA
"13","¡Versión PRO en oferta!
Apple iPhone 11 Pro de 64 Gb por 1089 € (-70 €)
https://t.co/OwjYBG1wly
el de 256 Gb en col… https://t.co/RBvrEeGBDn",FALSE,0,NA,2019-11-14 21:32:34,TRUE,NA,"1195092180219695104",NA,"<a href=""https://kuku.io"" rel=""nofollow"">Link account with KUKU.io</a>","chollopatas",0,FALSE,FALSE,NA,NA
"14","RT @MiltonFriedom: En Cuba ganan 5 dolares al mes, hacen 8 horas de cola para un kilo de arroz y nadie protesta. Pero el sistema donde la g…",FALSE,0,NA,2019-11-14 21:32:31,FALSE,NA,"1195092169591316480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hernanhermosil1",2457,TRUE,FALSE,NA,NA
"15","RT @ANlMEANGEL: this is actually very 90’s ojalá el iphone pronto y en rosita pastel https://t.co/qqLxlp7CNl",FALSE,0,NA,2019-11-14 21:32:31,FALSE,NA,"1195092169041694720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mhsistheshit",55,TRUE,FALSE,NA,NA
